city,day_type,room_type,bedrooms,person_capacity,room_shared,room_private,host_is_superhost,multi,biz,realSum,cleanliness_rating,guest_satisfaction_overall,lng,lat,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,city_avg_price,distance_bin,metro_accessibility,airport_distance_km,airport_distance_bin,price_per_person,population,tourist_arrivals,tourism_pressure_ratio
amsterdam,weekdays,Private room,1,2.0,False,True,False,1,0,194.03369812293488,10.0,93.0,4.90569,52.41772,5.022963798088291,2.539380002594493,78.69037927190317,4.166707868490748,98.25389587009934,6.846472824200016,563.3780253180049,>5km (Periphery),>2km (Limited),15.489619731587688,10-25km (Moderate),97.01684906146744,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,4.0,False,True,False,0,0,344.2457760176224,8.0,85.0,4.90005,52.37432,0.4883892888289836,0.2394039228349863,631.1763782503964,33.421208615275404,837.2807567422693,58.34292774344904,563.3780253180049,<1km (City Core),<500m (Excellent),11.788312978146546,10-25km (Moderate),86.0614440044056,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,1,264.1014224451058,9.0,87.0,4.97512,52.36103,5.748311915159562,3.651621288793656,75.27587691428164,3.9859076998790086,95.3869549262145,6.646700254501156,563.3780253180049,>5km (Periphery),>2km (Limited),15.490924273276283,10-25km (Moderate),132.0507112225529,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,2,4.0,False,True,False,0,1,433.5293979799874,9.0,90.0,4.89417,52.37663,0.384862012821602,0.4398760761319157,493.27253443070873,26.11910845442667,875.0330975776227,60.97356516795285,563.3780253180049,<1km (City Core),<500m (Excellent),11.642588035060237,10-25km (Moderate),108.38234949499684,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,0,0,485.5529257375859,10.0,98.0,4.90051,52.37508,0.5447381834292384,0.3186926468416831,552.8303243593364,29.272733004488263,815.3057399687838,56.81167695874816,563.3780253180049,<1km (City Core),<500m (Excellent),11.86525154362174,10-25km (Moderate),242.77646286879295,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,2,3.0,False,True,False,0,0,552.808567478265,8.0,100.0,4.87699,52.38966,2.13142008057136,1.904668241410844,174.7889567505081,9.255191398952537,225.20166237399388,15.69237583664536,563.3780253180049,2-3km (Mid-Range),1-2km (Moderate),11.842944658777977,10-25km (Moderate),184.269522492755,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,0,215.12431748412348,10.0,94.0,4.9157,52.38296,1.8810915643710744,0.7297467390303181,200.1676516320246,10.599010155873913,242.76552365826512,16.91625096043449,563.3780253180049,1-2km (Inner City),500m-1km (Good),13.21767800448973,10-25km (Moderate),107.56215874206174,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,3,4.0,False,False,True,0,0,2771.3073840601787,10.0,100.0,4.88467,52.38749,1.6868069652027278,1.4584035662283186,208.80810858545348,11.056528092733858,272.31382294091856,18.975218966216943,563.3780253180049,1-2km (Inner City),1-2km (Moderate),12.010579504144285,10-25km (Moderate),692.8268460150447,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,4.0,False,False,False,0,0,1001.8044196564572,9.0,96.0,4.86459,52.40175,3.719141398657261,1.1961123528716675,106.22645621714616,5.624761439165013,133.87620194208236,9.328686361865822,563.3780253180049,3-5km (Outer Zone),1-2km (Moderate),12.411801964906836,10-25km (Moderate),250.4511049141143,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,1,0,276.52145384669467,10.0,88.0,4.876,52.347,3.142361425629701,0.9244044386046626,206.2528615435097,10.921226064021864,238.29125778441968,16.604477677123384,563.3780253180049,3-5km (Outer Zone),500m-1km (Good),8.733454009402505,5-10km (Close),138.26072692334733,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,1,2.0,False,False,False,0,0,909.4743748974762,10.0,96.0,4.87956,52.36953,1.0099220248634968,0.9171150679278918,409.8581244623681,21.7022600216641,555.1142756474727,38.68116138184085,563.3780253180049,1-2km (Inner City),500m-1km (Good),10.375743995001102,10-25km (Moderate),454.7371874487381,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,1,0,319.6400534295691,10.0,97.0,4.92496,52.37107,2.182707104451588,1.590381362751412,191.50133917980733,10.140123153173365,229.29740063380305,15.977772771214685,563.3780253180049,2-3km (Mid-Range),1-2km (Moderate),12.96119867788939,10-25km (Moderate),159.82002671478455,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,1,4.0,False,False,False,0,0,675.6028402034074,8.0,87.0,4.88934,52.34697,2.9330458432919566,0.6280730466725806,214.9233419303541,11.380333761630316,269.6249040166742,18.7878512269707,563.3780253180049,2-3km (Mid-Range),500m-1km (Good),9.533074933532738,5-10km (Close),168.90071005085184,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,1,2.0,False,False,True,0,0,552.808567478265,10.0,100.0,4.87417,52.37509,1.3054939315898395,1.3421624076909515,325.2559516150373,17.222518755246615,390.9120520454746,27.239314200019194,563.3780253180049,1-2km (Inner City),1-2km (Moderate),10.52554718389491,10-25km (Moderate),276.4042837391325,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,1,0,209.03147189089125,8.0,96.0,4.99679,52.35645,7.304535266554101,3.720813885628837,59.7761806926462,3.165188486126733,75.70105653114125,5.274958531811383,563.3780253180049,>5km (Periphery),>2km (Limited),16.69572070101884,10-25km (Moderate),104.51573594544563,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,0,0,368.8514986056758,10.0,98.0,4.9080900000000005,52.37455,1.0311006089592691,0.5578845347320643,359.92193215168265,19.0581054585701,439.950562026628,30.656388128254143,563.3780253180049,1-2km (Inner City),500m-1km (Good),12.236881500951986,10-25km (Moderate),184.4257493028379,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,0,368.8514986056758,10.0,90.0,4.88971,52.36148,1.327797157439684,0.119528106734041,539.0128842344288,28.54109036883752,573.8965719683101,39.98993881196633,563.3780253180049,1-2km (Inner City),<500m (Excellent),10.375707957584881,10-25km (Moderate),184.4257493028379,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,1,0,337.91859020926586,10.0,97.0,4.88368,52.362390000000005,1.3663342379671055,0.5349334596105503,576.0828256376159,30.503968397362936,845.9576160170283,58.947543781296375,563.3780253180049,1-2km (Inner City),500m-1km (Good),10.100344406769455,10-25km (Moderate),168.95929510463293,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,1,0,313.54720783633684,10.0,96.0,4.8839,52.3631,1.2897592303027183,0.5521164877855617,528.9405557143664,28.00775388111325,1023.9047849216062,71.34715852694718,563.3780253180049,1-2km (Inner City),500m-1km (Good),10.159235005562513,10-25km (Moderate),156.77360391816842,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,1,2.0,False,False,False,1,0,447.5898108874465,9.0,93.0,4.87757,52.37336,1.0576193314364548,1.0653391259990903,422.8529061953185,22.390342348843035,476.69699183882113,33.21693222543855,563.3780253180049,1-2km (Inner City),1-2km (Moderate),10.559179376565881,10-25km (Moderate),223.79490544372325,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,1,0,243.2451432990416,10.0,96.0,4.85206,52.367340000000006,2.8706328438025386,1.2788940751193616,169.6957545063243,8.985502955930471,210.26769212497268,14.65175530387267,563.3780253180049,2-3km (Mid-Range),1-2km (Moderate),8.862501336792219,5-10km (Close),121.6225716495208,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,4.0,False,False,False,0,0,933.8457572704052,10.0,96.0,4.89088,52.36422,1.0140664267918649,0.3771036873075551,477.7940701845302,25.29951348788249,664.0532506071172,46.27218588985111,563.3780253180049,1-2km (Inner City),<500m (Excellent),10.615645214785626,10-25km (Moderate),233.4614393176013,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,1,0,251.91573125864133,10.0,97.0,4.886419999999999,52.38367,1.2470836669767065,1.098774337645081,267.325989604784,14.155088775077774,366.4646497953599,25.53578403823317,563.3780253180049,1-2km (Inner City),1-2km (Moderate),11.787825670831538,10-25km (Moderate),125.95786562932066,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,0,377.2877463501512,10.0,98.0,4.88799,52.38325,1.1674923014349312,0.9837430031835354,278.80059538006617,14.762676775212997,383.5778925726072,26.728259416138435,563.3780253180049,1-2km (Inner City),500m-1km (Good),11.830582280911997,10-25km (Moderate),188.6438731750756,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,1,0,245.5885454502848,10.0,96.0,4.89595,52.41122,4.230634296706812,2.687144039939682,92.21360220413766,4.882771508296015,116.21714372500834,8.098177778837142,563.3780253180049,3-5km (Outer Zone),>2km (Limited),14.512919490482297,10-25km (Moderate),122.7942727251424,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,1,0,217.70205985049097,8.0,93.0,4.89375,52.41081,4.180814737167991,2.80843797194201,93.27076366905054,4.938748910297056,117.75965599346443,8.2056622529484,563.3780253180049,3-5km (Outer Zone),>2km (Limited),14.38506381395428,10-25km (Moderate),108.85102992524548,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,1,0,295.0343308415157,10.0,95.0,4.895,52.343,3.366018582385255,0.2258822993056595,170.02869744175086,9.003132505586176,217.15523142671705,15.131688951667623,563.3780253180049,3-5km (Outer Zone),<500m (Excellent),9.6964268423613,5-10km (Close),147.51716542075786,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,0,295.0343308415157,10.0,94.0,4.84631,52.34966,4.1272800185441785,0.8393253845123759,129.22969947963463,6.84279845448336,164.40500901741308,11.455977561319465,563.3780253180049,3-5km (Outer Zone),500m-1km (Good),7.225844940954394,5-10km (Close),147.51716542075786,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,4.0,False,False,False,1,0,1032.9716682679916,9.0,96.0,4.92432,52.37676,2.161607613910167,1.4241694265758251,183.36525860175672,9.709312280524,222.3896893328925,15.496433509495947,563.3780253180049,2-3km (Mid-Range),1-2km (Moderate),13.27470337893779,10-25km (Moderate),258.2429170669979,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,4.0,False,True,True,0,0,270.4286082534624,10.0,98.0,4.82174,52.37781,4.88547764075742,1.0948368113158276,91.66621199798304,4.853786833165169,114.67434330402575,7.9906732258432704,563.3780253180049,3-5km (Outer Zone),1-2km (Moderate),8.641043395141761,5-10km (Close),67.6071520633656,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,1,2.0,False,False,False,0,1,524.6877416633469,9.0,89.0,4.87657,52.37288,1.1263269723055738,1.1210705457980177,386.3649664864131,20.458281696742496,462.80593390060216,32.24898332294269,563.3780253180049,1-2km (Inner City),1-2km (Moderate),10.473126144003993,10-25km (Moderate),262.3438708316734,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,3,4.0,False,False,False,0,0,599.6766105031285,9.0,94.0,4.90806,52.34442,3.363590724697365,0.6974224938368218,156.2371148422606,8.27285904308738,198.87412114128264,13.857834885556043,563.3780253180049,3-5km (Outer Zone),500m-1km (Good),10.576126016278161,10-25km (Moderate),149.91915262578212,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,4.0,False,False,False,0,0,516.0171537037471,9.0,100.0,4.888809999999999,52.36397,1.0711683461395805,0.3825354028755497,487.8730215579427,25.83320066009222,702.9288761319568,48.98109540761191,563.3780253180049,1-2km (Inner City),<500m (Excellent),10.485328553831192,10-25km (Moderate),129.00428842593678,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,3.0,False,False,False,0,0,602.254352869496,10.0,100.0,4.86021,52.34502,3.856290112898853,0.7279622388446657,148.72410296480916,7.875040072134487,184.2598482647537,12.839491325654029,563.3780253180049,3-5km (Outer Zone),500m-1km (Good),7.697083506422928,5-10km (Close),200.75145095649864,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,4.0,False,False,False,0,0,504.06580273240695,9.0,94.0,4.94798,52.38786,4.075247886453735,1.8734109911985728,98.63663409362889,5.22287531464615,122.12554190473386,8.50988346453865,563.3780253180049,3-5km (Outer Zone),1-2km (Moderate),15.297984779766825,10-25km (Moderate),126.01645068310174,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,3,6.0,False,False,False,1,0,1609.9172779040612,10.0,96.0,4.86225,52.35413,2.9885887859177016,1.7500029807371027,207.95247369146992,11.01122165656842,241.7781267436308,16.84744772283381,563.3780253180049,2-3km (Mid-Range),1-2km (Moderate),8.38454139837469,5-10km (Close),268.3195463173435,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,0,2.0,False,False,False,1,0,310.9694654699693,9.0,94.0,4.92058,52.33997,4.147086685675081,0.0383546937010648,118.77888465313508,6.289420865346949,151.3763929154923,10.5481248467903,563.3780253180049,3-5km (Outer Zone),<500m (Excellent),11.20558295199649,10-25km (Moderate),155.48473273498465,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,0,202.70428608253465,10.0,94.0,4.885,52.42343,5.611750155516678,3.911722315852436,71.34500903762175,3.777765633933668,89.08448605879362,6.207535156323151,563.3780253180049,>5km (Periphery),>2km (Limited),15.187176901582538,10-25km (Moderate),101.35214304126733,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,4.0,False,False,False,0,0,796.2880509924308,10.0,94.0,4.8588,52.35848,2.8549916690296686,1.7025833727524873,202.843104509214,10.74067716343327,271.3813254288273,18.91024119797041,563.3780253180049,2-3km (Mid-Range),1-2km (Moderate),8.505834829183291,5-10km (Close),199.0720127481077,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,0,504.06580273240695,9.0,96.0,4.98597,52.36376,6.411657372487183,4.143226904079955,67.21539749302899,3.559099958715495,83.9984255268359,5.853131141032784,563.3780253180049,>5km (Periphery),>2km (Limited),16.287742233762202,10-25km (Moderate),252.03290136620348,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,1,319.6400534295691,10.0,95.0,4.90032,52.37525,0.5403538681782272,0.3386577422231185,558.6099219244412,29.5787665358304,816.9103767160349,56.92349035592166,563.3780253180049,<1km (City Core),<500m (Excellent),11.866939858868825,10-25km (Moderate),159.82002671478455,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,4.0,False,True,False,0,1,614.4400440559605,9.0,96.0,4.8996900000000005,52.37513,0.495828246257032,0.3327422132904341,717.4464437652888,37.98926590667624,848.4048418794097,59.11807000026306,563.3780253180049,<1km (City Core),<500m (Excellent),11.825201399675077,10-25km (Moderate),153.61001101399012,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,3.0,False,True,False,0,1,467.0400487427648,10.0,94.0,4.90027,52.37469,0.5143556615734999,0.2772111229812157,589.2808024041849,31.20281003658549,873.3642985244994,60.85728084899449,563.3780253180049,<1km (City Core),<500m (Excellent),11.825536694136371,10-25km (Moderate),155.68001624758827,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,5.0,False,False,True,0,0,716.3780376350386,10.0,96.0,4.841,52.38253,3.69500542587883,0.3975279375938017,116.72399605247642,6.180613148565572,147.2522745503008,10.260750345646876,563.3780253180049,3-5km (Outer Zone),<500m (Excellent),9.747489511246497,5-10km (Close),143.2756075270077,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,0,2.0,False,True,False,1,0,350.1042813957304,10.0,91.0,4.88774,52.382540000000006,1.0978692589754402,0.9569279642150376,293.0606698577352,15.5177571939521,426.5718862112776,29.72414274925484,563.3780253180049,1-2km (Inner City),500m-1km (Good),11.763221780814014,10-25km (Moderate),175.0521406978652,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,1,319.6400534295691,10.0,97.0,4.89831,52.37457,0.3846115997106273,0.3126380462316873,666.9076246495788,35.31320185383912,811.4863437935289,56.54553593820981,563.3780253180049,<1km (City Core),<500m (Excellent),11.71315706121526,10-25km (Moderate),159.82002671478455,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,3.0,False,True,False,0,1,467.0400487427648,10.0,96.0,4.90002,52.37341,0.4715465422801259,0.1432629485982863,767.0988273089583,40.618392606979214,825.0527697607004,57.49086401790815,563.3780253180049,<1km (City Core),<500m (Excellent),11.724322829966647,10-25km (Moderate),155.68001624758827,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,2,3.0,False,False,True,0,0,983.2915426616364,10.0,100.0,4.87317,52.36917,1.4305110577156566,1.3525869353715234,322.01876862843943,17.051107765150935,423.352724326681,29.499826917659423,563.3780253180049,1-2km (Inner City),1-2km (Moderate),10.024021751814704,10-25km (Moderate),327.7638475538788,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,0,2.0,False,True,True,0,0,298.78377428350484,9.0,94.0,4.93986,52.348290000000006,4.224208587262892,1.5193110444768114,108.74589185765036,5.758167230375796,138.78673112714876,9.670859100364115,563.3780253180049,3-5km (Outer Zone),1-2km (Moderate),12.746418676251137,10-25km (Moderate),149.39188714175242,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,4.0,False,True,False,0,0,196.6114404893024,9.0,94.0,4.96617,52.40648,6.198278628987274,2.3712668616978507,65.76107993501923,3.482092877693492,81.38426747691128,5.670972847069203,563.3780253180049,>5km (Periphery),>2km (Limited),17.525860188797328,10-25km (Moderate),49.1528601223256,872680,9000000,10.3130586240088
amsterdam,weekdays,Entire home/apt,1,2.0,False,False,False,0,0,430.24863496824696,10.0,96.0,4.84941,52.37788,3.0194408531429744,0.7924066228604738,144.54998380810338,7.654017689281721,182.7619838156324,12.735117975829793,563.3780253180049,3-5km (Outer Zone),500m-1km (Good),9.648552586994661,5-10km (Close),215.12431748412348,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,1,319.6400534295691,9.0,95.0,4.89843,52.3734,0.3633454412498557,0.2096397288159174,1238.4667773533197,65.57763876358618,755.1322211354874,52.618699593521626,563.3780253180049,<1km (City Core),<500m (Excellent),11.638620765152778,10-25km (Moderate),159.82002671478455,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,4.0,False,True,True,0,0,405.6429123801936,9.0,98.0,4.82115,52.38375,5.036497714450563,1.2466108857508118,87.20473186122335,4.617548495480738,109.09580987342612,7.601952990444291,563.3780253180049,>5km (Periphery),1-2km (Moderate),9.217071837886886,5-10km (Close),101.4107280950484,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,True,1,0,334.16914676727674,10.0,97.0,4.881,52.36600000000001,1.151764132843782,0.8970263744801004,425.3458846114482,22.52234721244361,628.0124490034847,43.76081098144154,563.3780253180049,1-2km (Inner City),500m-1km (Good),10.200184280846583,10-25km (Moderate),167.08457338363837,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,1,491.8801115459424,9.0,98.0,4.89861,52.37326,0.3751350635549438,0.1903946025634141,1888.5504277122784,100.0,747.8012493996536,52.10786693574363,563.3780253180049,<1km (City Core),<500m (Excellent),11.638614748288733,10-25km (Moderate),245.9400557729712,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,1,2.0,False,True,False,0,1,319.6400534295691,9.0,95.0,4.89837,52.37355,0.3605068051816017,0.2235065665493052,1030.281139745255,54.554070922707645,761.5528542804844,53.066098548566586,563.3780253180049,<1km (City Core),<500m (Excellent),11.645743893517997,10-25km (Moderate),159.82002671478455,872680,9000000,10.3130586240088
amsterdam,weekdays,Private room,5,4.0,False,True,False,0,1,780.3529163639773,10.0,100.0,4.91319,52.37075,1.395578909867689,0.8572393306243391,311.0141147100838,16.468404028100807,350.8503639340734,24.44775813481329,563.3780253180049,1-2km (Inner City),500m-1km (Good),12.273535747467417,10-25km (Moderate),195.08822909099433,872680,9000000,10.3130586240088
